=======================================================
INÍCIO DO POC DE EXTRAÇÃO: https://www.supercentralonline.com.br/
ATENÇÃO: Extraindo APENAS produtos com PREÇO.
ARQUIVO DE LOG DE DETALHES: Extracao\Extracao_20251027_134108.txt
=======================================================
Iniciando navegação...
🔄 Tentando tratar o modal de seleção de loja/cidade...
⚠️ Modal de seleção de loja não encontrado ou não apareceu. Prosseguindo.
🔄 Tentando expandir o menu de departamentos...
✅ Menu de departamentos expandido.
✅ Encontrados 14 caminhos de departamento únicos.


=======================================================
>>> INICIANDO DEPTO: BEBIDAS | Link: departamentos/bebidas <<<
 ✅ Refrigerante Coca Cola Pet 2 L Lv+ Pg- Pack C/6                                  | R$ 55.00
 ✅ Refrigerante Itubaina Retrô Origina Zero Lata 350ml                              | R$ 2.69
 ✅ Refrigerante H2oh Limão Pet 500ml                                                | R$ 4.49
 ✅ Refrigerante Fanta Maracujá Lata 350ml                                           | R$ 3.39
 ✅ Refrigerante Coca Cola Pet 600ml                                                 | R$ 5.39
 ✅ Refrigerante Coca Cola Pet 200ml                                                 | R$ 1.97

   [NAVEGACAO] Acessando Página: 3 | URL: https://www.supercentralonline.com.br/departamentos/bebidas?page=3
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Bebida Mista Schweppes Spritz Lata 269ml                                         | R$ 4.33
 ✅ Bebida Mista Schweppes Gin Tônica Pink Lata 269ml                                | R$ 4.33
 ✅ Energético Monster Watermelon Lata 473ml                                         | R$ 7.99
 ✅ Bebida Mista Stempel Garrafa Pineaplle 600ml                                     | R$ 9.98
 ✅ Bebida Mista Maguary Fruit Shoot Uva 100% Tp 150ml                               | R$ 2.87
 ✅ Bebida Mista 51 Ice Fruit Mix 275ml                                              | R$ 5.99
 ✅ Bebida Mista Jack Daniel`s Honey Lemonade Lata 330ml                             | R$ 8.66
 ✅ Bebida Mista Mikes Lemonade Pitaia Long Neck 275ml                               | R$ 7.99
 ✅ Bebida Mista Maguary Fruit Shoot Maçã 100% Tp 150ml                              | R$ 2.87
 ✅ Energético Red Bull Original Lata 250ml                                          | R$ 9.98
 ✅ Energético Energy 15 Pet 2 L                                                     | R$ 9.89
 ✅ Energético Crazy Cat Pet 2 L                                                     | R$ 11.69
 ✅ Energético Big Power Pet 2 L                                                     | R$ 10.98
 ✅ Energético Red Bull Sugarfree Lata 250ml                                         | R$ 9.98
 ✅ Energético Nos Original Pet 2 L                                                  | R$ 18.38
 ✅ Energético Red Bull Morango E Pêssego Lata 250ml                                 | R$ 9.98
 ✅ Bebida Mista Skol Beats Caipirinha Long Neck 269ml                               | R$ 7.99
 ✅ Energético Fusion Pet 2 L                                                        | R$ 10.49
