=======================================================
INÍCIO DO POC DE EXTRAÇÃO: https://www.supercentralonline.com.br/
ATENÇÃO: Extraindo APENAS produtos com PREÇO.
ARQUIVO DE LOG DE DETALHES: Extracao\Extracao_20251027_141715.txt
=======================================================
Iniciando navegação...
🔄 Tentando tratar o modal de seleção de loja/cidade...
⚠️ Modal de seleção de loja não encontrado ou não apareceu. Prosseguindo.
🔄 Tentando expandir o menu de departamentos...
✅ Menu de departamentos expandido.
✅ Encontrados 14 caminhos de departamento únicos.


=======================================================
>>> INICIANDO DEPTO: BEBIDAS | Link: departamentos/bebidas <<<
 ✅ Balão Liso Valves Rosa Pink C/30 Un                                              | R$ 11.78
 ✅ Forminha Papel Valves Nr°6 Azul C/200 Un                                         | R$ 3.85
 ✅ Aroma Artificial Dr. Oetker Baunilha 30ml                                        | R$ 11.99
 ✅ Balões Valves Fantasia C/8 Un                                                    | R$ 4.65
 ✅ Balão Canudo Fest Lar C/8un                                                      | R$ 4.85
 ✅ Balão Liso Valves Amarelo C/30 Un                                                | R$ 11.78
 ✅ Bandeja Laminada Fest Lar N°5 Und                                                | R$ 5.75
 ✅ Forminha Fest Lar 200 Un N°5 Rosa                                                | R$ 5.35
 ✅ Garrafa Térmica Invicta Firenze Decorada 1l                                      | R$ 49.90
 ✅ Conjunto Sanremo Bule 700ml + Suporte Para Filtro De Café Nº 102 Rosa            | R$ 75.90
 ✅ Garrafa Térmica Invicta 1l                                                       | R$ 45.90
 ✅ Forminha Papel Festival 200 Un N°6 Branca                                        | R$ 3.85
 ✅ Saco Para Pipoca Fest Lar                                                        | R$ 4.98
 ✅ Conjunto Sanremo Bule 700ml + Filtro Para Filtro De Café Nº 102 Branco           | R$ 75.90
 ✅ Prato Plástico Fest Lar 15cm Rosa Com 10un                                       | R$ 3.59
 ✅ Garrafa Térmica Sanremo Gostar Bege 750ml                                        | R$ 49.90
 ✅ Faca Descartável Refeição Valves Cristal C/10un                                  | R$ 2.95
 ✅ Bule Sanremo Térmico Amarelo 700ml                                               | R$ 59.90
 ✅ Garrafa Invicta Pressão Preta 1l                                                 | R$ 64.90
 ✅ Copo Descartável Facilita Branco 50ml Com 100 Unidades                           | R$ 3.98
 ✅ Bule Sanremo Térmico Azul 700ml                                                  | R$ 59.90
 ✅ Garrafa Térmica Invicta Glt Pressão Azul 1l                                      | R$ 64.90
 ✅ Garrafa Térmica Sanremo Gostar Verde 750ml                                       | R$ 49.90
 ✅ Garfo Fest Lar Plástico Cristal Sobremesa Com 50un                               | R$ 7.98
 ✅ Filme De Pvc Wyda 21metros                                                       | R$ 7.55
 ✅ Bule Sanremo Térmico Preto 700ml                                                 | R$ 59.90
 ✅ Caixa Térmica Isoterm 60 Litros                                                  | R$ 119.90
 ✅ Balão Fest Lar Gigante Coração C/1                                               | R$ 11.99
 ✅ Balão Liso Valves Laranja C/30 Un                                                | R$ 11.78
 ✅ Sandália Havaianas Slim Harmony                                                  | R$ 55.90
 ✅ Garrafa Térmica Sanremo Gostar Preta 750ml                                       | R$ 49.90

   [NAVEGACAO] Acessando Página: 9 | URL: https://www.supercentralonline.com.br/departamentos/bazar-e-utilidades?page=9
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Sandália Havaianas Slim Pets                                                     | R$ 56.50
 ✅ Papel Alumínio Mello 30x4 Metros                                                 | R$ 4.99
 ✅ Sacos Hermeticos Wyda Com Ziper Pequeno C/15                                     | R$ 13.98
 ✅ Filme De Pvc Mello 28x30 Metros                                                  | R$ 7.99
 ✅ Saco Para Freezer Wyda Ensaca Tudo 3kg                                           | R$ 8.69
 ✅ Saco Para Freezer Wyda Ensaca Tudo 2kg                                           | R$ 7.98
 ✅ Papel Manteiga Wyda 29x7,5 Metros                                                | R$ 7.79
 ✅ Papel Alumínio Wyda 45x7,5 Metros                                                | R$ 9.75
 ✅ Papel Alumínio Wyda 30x7,5 Metros                                                | R$ 6.99
 ✅ Prato Descartável Cores Fest 15cm Laminado Verde                                 | R$ 3.59
 ✅ Marmita Plasútil 2 Em 1 Und                                                      | R$ 17.85
 ✅ Lâmpada Ourolux Superled 9w 6500k Cx                                             | R$ 3.95
 ✅ Prato Plástico Fest Lar 15cm Vermelho 10un                                       | R$ 3.59
 ✅ Lâmpada Led Ourolux 12w Cx                                                       | R$ 6.89
 ✅ Lâmpada Empalux Led A60 12w Un                                                   | R$ 8.99
 ✅ Balão Fest Lar Gigante Azul C/1un                                                | R$ 11.99
 ✅ Lâmpada Empalux Led A60 9w Bivolt 6.500k Un                                      | R$ 5.98
 ✅ Lâmpada Empalux Led A70 15w Bivolt 6.500k Un                                     | R$ 9.99
 ✅ Prato Fest Lar N°5 Laminado Un                                                   | R$ 3.25
 ✅ Balão Liso Valves Verde C/30 Un                                                  | R$ 11.78
 ✅ Lâmpada Superled Ourolux Bivolt 6w                                               | R$ 4.98
 ✅ Prato Plástico Fest Lar 15cm Amarelo 10un                                        | R$ 3.59
 ✅ Extensão Elétrica New Pp Sortida Fios E Cabos 5mt                                | R$ 39.90
 ✅ Sandália Ipanema Turma Da Mônica Infantil                                        | R$ 37.98
 ✅ Sandália Ipanema Glitter Adulto                                                  | R$ 44.90
 ✅ Sandália Ipanema Cartago Maiorca Cores Diversas                                  | R$ 69.90
 ✅ Prato Plástico Fest Lar 20,5cm Branco Com 10un                                   | R$ 5.78
 ✅ Sand Rider R1 Speed 37/44 Sort 11650                                             | R$ 48.90
 ✅ Sandália Havaianas Top Adulto                                                    | R$ 37.90
 ✅ Sandália Ipanema Clássica Happy Adulto                                           | R$ 33.98
 ✅ Sandália Ipanema Infantil                                                        | R$ 22.98
 ✅ Sandália Ipanema Adulto                                                          | R$ 22.98
 ✅ Forminha De Papel Azul Fest Lar N05                                              | R$ 5.35
 ✅ Copo Descarteveis Fest Lar Azul Com                                              | R$ 2.99
 ✅ Sandália Havaianas Kids Athletic                                                 | R$ 44.70
 ✅ Sandália Havaianas Kids Slim Princes                                             | R$ 63.90
 ✅ Sandália Havaianas Kids Cars                                                     | R$ 52.90
 ✅ Balão Fest Lar Gigante Branco C/1                                                | R$ 11.99
 ✅ Sandália Havaianas Top Nautical                                                  | R$ 69.90
 ✅ Sandália Havaianas Baby Disney Clássica                                          | R$ 57.90

   [NAVEGACAO] Acessando Página: 10 | URL: https://www.supercentralonline.com.br/departamentos/bazar-e-utilidades?page=10
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Silicone Proauto 120ml                                                           | R$ 12.35
 ✅ Caneca Esmaltada Catuai 150ml                                                    | R$ 9.25
 ✅ Limpa Vidros Autocraft 500ml                                                     | R$ 11.98
 ✅ Glade Gel Car Citrus 70g                                                         | R$ 11.99
 ✅ Lava Auto Autocraft 500ml                                                        | R$ 11.98
 ✅ Vela Francis Preta Número 5                                                      | R$ 12.98
 ✅ Caneca Biona Jumbo De Porcelana Cor Sortida 740ml                                | R$ 39.90
 ✅ Organizador Plasútil Gira E Trava Unidade                                        | R$ 3.99
 ✅ Assadeira Média Sempre 2,4l Com Tampa Plástica Redonda                           | R$ 69.90
 ✅ Assadeira Quadrada Com Tampa Rosa 1,5l Média Sempre                              | R$ 43.90
 ✅ Escorredor Plasutil Macarrao                                                     | R$ 11.48
 ✅ Açucareiro/ Farinheiro Plasútil 700ml                                            | R$ 9.59
 ✅ Assa Rápido Wyda Cozinha                                                         | R$ 10.99
 ✅ Açucareiro Com Colher Branco Plasútil 300ml                                      | R$ 10.78
 ✅ Bandeja Fest Lar Laminada 42x50cm N°7                                            | R$ 10.59
 ✅ Assadeira Nadir Retangular 3l                                                    | R$ 65.98
 ✅ Bandeja Fest Lar 10un Plástica Média                                             | R$ 6.65
 ✅ Capa Mor Aluminizada Para Passar                                                 | R$ 49.90
 ✅ Vela Santini 7 Dias Branca                                                       | R$ 16.98
 ✅ Vela Santini Votiva Imagem                                                       | R$ 16.98
 ✅ Vela Santini Meu Anjo Votiva 240g                                                | R$ 15.98
 ✅ Vela Santini Número 5                                                            | R$ 11.99
 ✅ Vela Santini Votiva Mel                                                          | R$ 16.98
 ✅ Vela Francis Mel                                                                 | R$ 21.90
 ✅ Vela Francis 7 Dias Fina                                                         | R$ 16.49
 ✅ Vela Francis Vermelha Número 5                                                   | R$ 12.98
 ✅ Vela Francis Votiva Imagem                                                       | R$ 16.79
 ✅ Vela Francis Branca Número 8                                                     | R$ 14.98
 ✅ Vela Francis Branca Número 3                                                     | R$ 10.89
 ✅ Vela Aniversário Sapekinha Azul N° 5                                             | R$ 4.99
 ✅ Vela Aniversário Fest Lar Interrogacao Azul                                      | R$ 6.18
 ✅ Vela Para Filtro Stefani Carvão Ativado                                          | R$ 25.68
 ✅ Vela Aniversário Valves Gliter Rosa N°4                                          | R$ 4.99
 ✅ Vela Estrelar Valves C/                                                          | R$ 6.35
 ✅ Vela Aniversário Fest Lar Gliter Branco N° 7                                     | R$ 4.99
 ✅ Vela Aniversário Sapekinha Rosa N° 2                                             | R$ 4.99
 ✅ Vela Aniversário Sapekinha Rosa N° 0                                             | R$ 4.99
 ✅ Vela Aniversário Fest Lar Branca N°5                                             | R$ 3.48
 ✅ Filtro De Cerâmica São João 4l                                                   | R$ 255.90
 ✅ Vela Aniversário Fest Lar Branca N°7                                             | R$ 3.48

   [NAVEGACAO] Acessando Página: 11 | URL: https://www.supercentralonline.com.br/departamentos/bazar-e-utilidades?page=11
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Bandeja Fest Lar 10un Plástica Média                                             | R$ 6.65
 ✅ Assadeira Nadir Retangular 3l                                                    | R$ 65.98
 ✅ Bandeja Fest Lar Laminada 42x50cm N°7                                            | R$ 10.59
 ✅ Açucareiro Com Colher Branco Plasútil 300ml                                      | R$ 10.78
 ✅ Assa Rápido Wyda Cozinha                                                         | R$ 10.99
 ✅ Açucareiro/ Farinheiro Plasútil 700ml                                            | R$ 9.59
 ✅ Escorredor Plasutil Macarrao                                                     | R$ 11.48
 ✅ Assadeira Quadrada Com Tampa Rosa 1,5l Média Sempre                              | R$ 43.90
 ✅ Assadeira Média Sempre 2,4l Com Tampa Plástica Redonda                           | R$ 69.90
 ✅ Organizador Plasútil Gira E Trava Unidade                                        | R$ 3.99
 ✅ Caneca Biona Jumbo De Porcelana Cor Sortida 740ml                                | R$ 39.90
 ✅ Frigideira Luz Nobre Alta C/fritex 22cm                                          | R$ 84.90
 ✅ Abridor Catuai Inox P/garrafa E Lata                                             | R$ 7.59
 ✅ Garfo Descartável Para Sobremesa Fest Lar Azul Com 10un                          | R$ 2.28
 ✅ Kit Com 2 Facas E Garfos Trinch                                                  | R$ 39.90
 ✅ Copo Plasútil 500ml Shake Homem Aranha                                           | R$ 16.35
 ✅ Jogo De Copo Nadir 300ml 6un Light                                               | R$ 30.90
 ✅ Prato Duralex Raso Astra Gourmet 26cm Un                                         | R$ 17.99
 ✅ Taca Nadir Windsor Conhaque 320ml                                                | R$ 19.98
 ✅ Prato Sobremesa Oxford 18cm Donna Grecia Un                                      | R$ 13.98
 ✅ Porta Condimento Plasútil 7 Peças Decora                                         | R$ 44.98
 ✅ Assadeira Sempre Nadir Com Tampa 3l                                              | R$ 79.90
 ✅ Prato De Sobremesa Nadir Figueiredo 17cm Menu Unidade                            | R$ 13.99
 ✅ Jarra Com Tampa Articulada 2l Plasútil                                           | R$ 28.48
 ✅ Panela De Pressão Panelux 4,5l                                                   | R$ 68.90
 ✅ Queijeira Plasútil                                                               | R$ 10.55
 ✅ Porta-papel Toalha Branco Plasútil                                               | R$ 14.98
 ✅ Caneca Carrinhos 330ml Plasútil Trio                                             | R$ 9.98
 ✅ Pote Plasútil 580ml Clic Quadrado                                                | R$ 7.75
 ✅ Assadeira Marinex Quadrada Com Tampa Facilita Vap Pequena 500ml                  | R$ 29.90
 ✅ Caçarola Mega Ll Polida N°20                                                     | R$ 44.90
 ✅ Escorredor De Talheres Plasútul                                                  | R$ 11.48
 ✅ Prato Descartável Pratice Life Refeição Com 25 Unidades                          | R$ 16.98
 ✅ Panela Pressão Panelux 3l                                                        | R$ 85.90
 ✅ Garfo Mesa Tramontina Inox Leme Com Cabo Azul Un                                 | R$ 3.95
 ✅ Garfo Valves Plástico Sobremesa 10un Branco                                      | R$ 2.28
 ✅ Faca Tramontina Peixeira Carbono Legumes/frutas Média N°5                        | R$ 26.90
 ✅ Assadeira Nadir Quadrada Pequena                                                 | R$ 41.98
 ✅ Pote Plástico Com Tampa Redondo Camomila 1,4l Plasútil Decora                    | R$ 10.98
 ✅ Faca Tramontina Peixeira Aço Carbono N°7                                         | R$ 33.90

   [NAVEGACAO] Acessando Página: 12 | URL: https://www.supercentralonline.com.br/departamentos/bazar-e-utilidades?page=12
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Sandália Ipanema Baby                                                            | R$ 29.90
 ✅ Sandália Havaianas Slim Harmony                                                  | R$ 55.90
 ✅ Sandália Ipanema Glitter Adulto                                                  | R$ 44.90
 ✅ Sandália Ipanema Cartago Maiorca Cores Diversas                                  | R$ 69.90
 ✅ Sand Rider R1 Speed 37/44 Sort 11650                                             | R$ 48.90
 ✅ Sandália Havaianas Top Adulto                                                    | R$ 37.90
 ✅ Sandália Ipanema Clássica Happy Adulto                                           | R$ 33.98
 ✅ Sandália Ipanema Infantil                                                        | R$ 22.98
 ✅ Sandália Ipanema Adulto                                                          | R$ 22.98
 ✅ Sandália Ipanema Turma Da Mônica Infantil                                        | R$ 37.98
 ✅ Sandália Ipanema Surf Anatômica Masculina                                        | R$ 23.98
 ✅ Sandália Havaianas Brasil                                                        | R$ 60.90
 ✅ Sandália Havaianas Kids Slim Princes                                             | R$ 63.90
 ✅ Sandália Havaianas Kids Cars                                                     | R$ 52.90
 ✅ Sandália Havaianas Kids Athletic                                                 | R$ 44.70
 ✅ Sandália Havaianas Top Nautical                                                  | R$ 69.90
 ✅ Sandália Havaianas Baby Disney Clássica                                          | R$ 57.90
 ✅ Sandália Havaianas Slim Pets                                                     | R$ 56.50
 ✅ Extensão Elétrica New Pp Sortida Fios E Cabos 5mt                                | R$ 39.90
 ✅ Lâmpada Superled Ourolux Bivolt 6w                                               | R$ 4.98
 ✅ Lâmpada Empalux Led A70 15w Bivolt 6.500k Un                                     | R$ 9.99
 ✅ Lâmpada Empalux Led A60 9w Bivolt 6.500k Un                                      | R$ 5.98
 ✅ Lâmpada Empalux Led A60 12w Un                                                   | R$ 8.99
 ✅ Lâmpada Led Ourolux 12w Cx                                                       | R$ 6.89
 ✅ Lâmpada Ourolux Superled 9w 6500k Cx                                             | R$ 3.95
 ✅ Papel Alumínio Wyda 30x7,5 Metros                                                | R$ 6.99
 ✅ Papel Alumínio Wyda 45x7,5 Metros                                                | R$ 9.75
 ✅ Papel Manteiga Wyda 29x7,5 Metros                                                | R$ 7.79
 ✅ Saco Para Freezer Wyda Ensaca Tudo 2kg                                           | R$ 7.98
 ✅ Saco Para Freezer Wyda Ensaca Tudo 3kg                                           | R$ 8.69
 ✅ Filme De Pvc Mello 28x30 Metros                                                  | R$ 7.99
 ✅ Sacos Hermeticos Wyda Com Ziper Pequeno C/15                                     | R$ 13.98
 ✅ Papel Alumínio Mello 30x4 Metros                                                 | R$ 4.99
 ✅ Forra Fogão Wyda Para 5 Bocas Com 10 Unidades                                    | R$ 14.99
 ✅ Sacos Hermeticos Wyda Com Zip Grande C/8                                         | R$ 13.98
 ✅ Filme De Pvc Mello 28x15 Metros                                                  | R$ 5.99
 ✅ Filme Wyda Pvc 30metros                                                          | R$ 7.98
 ✅ Filme De Pvc Wyda 15 Metros                                                      | R$ 4.95
 ✅ Folha De Alumínio Moldada Wyda Com 12 Unidades                                   | R$ 9.89
 ✅ Rodinho Plasútil Pia Decorado                                                    | R$ 7.99

   [NAVEGACAO] Acessando Página: 13 | URL: https://www.supercentralonline.com.br/departamentos/bazar-e-utilidades?page=13
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Papel Alumínio Mello 45x7,5 Metros                                               | R$ 7.99
 ✅ Papel Alumínio Vabene 45x7,5 Metros                                              | R$ 6.99
 ✅ Papel Alumínio Vabene 30x7,5 Metros                                              | R$ 4.99
 ✅ Papel Alumínio Vavene 30x4 Metros                                                | R$ 3.99
 ✅ Chuveirinho Lorenzetti                                                           | R$ 7.60
 ✅ Porta Sabão Plasútil Decora                                                      | R$ 15.65
 ✅ Pá Para Lixo Melaré Plástica Cabo Longo                                          | R$ 14.99
 ✅ Colher Madeira Alves 38cm Un                                                     | R$ 11.98
 ✅ Saboneteira Belessa Fitness                                                      | R$ 8.58
 ✅ Protetor P/lavar Roupas Finas Plasutil                                           | R$ 23.98
 ✅ Luva Multiuso Limppano Forradas Tam. G                                           | R$ 12.49
 ✅ Saca Rolha Catuaí Com Abridor De Garrafas Reforçado                              | R$ 29.90
 ✅ Rolo Adesivo Tira Pelos Scotch Brite 3.1m Refil                                  | R$ 22.99
 ✅ Evita Mofo Secar Floral 180g                                                     | R$ 11.99
 ✅ Caixa Térmica Isoterm 45 Litros                                                  | R$ 79.90
 ✅ Fervedor Ls Aad Preto                                                            | R$ 52.90
 ✅ Tabua                                                                            | R$ 32.90
 ✅ Luva Vabene Amarela M 1 Par                                                      | R$ 5.99
 ✅ Escova Bettanin Esfregona                                                        | R$ 15.99
 ✅ Vassourita Bettanin Pincel Sanitário                                             | R$ 11.28
 ✅ Cola Super Bonder Power Flex Gel 2g                                              | R$ 10.68
 ✅ Carvão Ipê 2,4kg                                                                 | R$ 24.98
 ✅ Cortador Pizza Un Catuai 19cm Cabo Branco                                        | R$ 17.65
 ✅ Forma Marinex Filetada Média Litros                                              | R$ 34.98
 ✅ Prendedor Para Roupas Gina Madeira Com 12 Unidades                               | R$ 5.55
 ✅ Desc Boleador Catuai Un                                                          | R$ 7.99
 ✅ Espátula De Silicone Catuai                                                      | R$ 13.78
 ✅ Jogo Faca Tramontina 3 Pecas Inox Plenus Preto Un                                | R$ 27.49
 ✅ Caneca De Louca Decorada 270ml                                                   | R$ 17.99
 ✅ Escova Bettanin Sket                                                             | R$ 10.98
 ✅ Evita Mofo Secar Kids 180g                                                       | R$ 11.99
 ✅ Colher De Madeira Alves 34cm                                                     | R$ 10.98
 ✅ Pá Para Lixo Melaré Plástica                                                     | R$ 7.99
 ✅ Colher De Chá Tramontina Leme Cabo Preto Un                                      | R$ 2.25
 ✅ Cola Super Bonder Pincel 4g                                                      | R$ 15.99
 ✅ Pote Plasutil Clic Quadrado                                                      | R$ 4.25
 ✅ Kit Churrasco Mor 2 Peças                                                        | R$ 55.90
 ✅ Triturador Catuai Multiuso                                                       | R$ 7.99
 ✅ Saladeira Duralex Opaline                                                        | R$ 21.98
 ✅ Porta Sabonete Liquido Uz Translucido Premium Preto 15,8cm                       | R$ 26.90

   [NAVEGACAO] Acessando Página: 14 | URL: https://www.supercentralonline.com.br/departamentos/bazar-e-utilidades?page=14
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Caneca Oxford Color Sortida 360ml                                                | R$ 23.98
 ✅ Corante Tintol Tingecor Guarany 31 Jeans Preto 40g                               | R$ 6.99
 ✅ Pá Para Lixo Melaré Metálica Cabo Longo                                          | R$ 18.75
 ✅ Porta-cotonete Trama Rosa Quartzo Plasútil                                       | R$ 7.99
 ✅ Prendedor Para Roupas Melaré Madeira Com 12 Unidades                             | R$ 4.85
 ✅ Caixa Organizadora Plasutil Com Tampa Rosca 3 Peças                              | R$ 10.89
 ✅ Porta Escova Dental Bellesa                                                      | R$ 8.29
 ✅ Descascador E Boleador Keita                                                     | R$ 9.45
 ✅ Saco Para Freezer Wyda Ensaca Tudo 7kg                                           | R$ 13.98
 ✅ Luva Multiuso Limppano Forradas Tam. M                                           | R$ 12.49
 ✅ Porta-escova Dental Trama Rosa Quartzo Plasútil                                  | R$ 11.89
 ✅ Vela Filtro Lorenzetti Refil Acqua/vitale                                        | R$ 49.90
 ✅ Pincel De Silicone Catuaicm                                                      | R$ 11.45
 ✅ Faca Tramontina Pão Plenus Inox Un                                               | R$ 22.98
 ✅ Saboneteira Plasútil                                                             | R$ 5.48
 ✅ Carretilha P/pastelcm Catuai -                                                   | R$ 16.99
 ✅ Saboneteira Plasútil Carrinhos                                                   | R$ 4.99
 ✅ Resistencia 220x5500 Maxi Ducha 055-a Lorenzetti Un                              | R$ 32.99
 ✅ Pegador Multiuso Inox Catuai -                                                   | R$ 13.39
 ✅ Descascador E Ralador Catuaí Para Legumes 18cm                                   | R$ 6.99
 ✅ Peneira Plasútil Nº3 16cm                                                        | R$ 18.99
 ✅ Caixa Térmica Isoterm 30 Litros                                                  | R$ 63.90
 ✅ Jarra Vidro Maracatu Nadir 1,5l                                                  | R$ 25.90
 ✅ Corante Tintol Tingecor Guarany 18 Jeans Azul 40g                                | R$ 6.99
 ✅ Prendedor Para Roupas Esfrebom Com 16 Unidades                                   | R$ 10.68
 ✅ Pilao De Madeira Stolf Com Socador 1und                                          | R$ 27.90
 ✅ Protetor Para Fogao Mello 12un                                                   | R$ 9.98
 ✅ Colher Chá Tramontina Leme Cabo Vermelho Un                                      | R$ 2.25
 ✅ Peneira Nylon Plasutil 7cm                                                       | R$ 6.15
 ✅ Tabua De Carne Stolf Madeiraxcm                                                  | R$ 29.90
 ✅ Colher Para Sorvete Un Catuai Com Cabo Branco                                    | R$ 16.99
 ✅ Luva Vabene Amarel G 1 Par                                                       | R$ 5.99
 ✅ Colher Atenas Mesa Refeição                                                      | R$ 3.99
 ✅ Faca Atenas Mesa Refeição                                                        | R$ 3.99
 ✅ Garfo Atenas Mesa Refeição                                                       | R$ 3.99
 ✅ Colher Mônaco Para Servir                                                        | R$ 12.29
 ✅ Garfo Mônaco Para Servir                                                         | R$ 12.29
 ✅ Faca Ad Gourmet Peixeira Chef Nº 8                                               | R$ 26.69
 ✅ Faca Ad Gourmet Peixeira Chef Nº 6                                               | R$ 19.98
 ✅ Faca Ad Gourmet Desossa Chef Nº 6                                                | R$ 21.98

   [NAVEGACAO] Acessando Página: 15 | URL: https://www.supercentralonline.com.br/departamentos/bazar-e-utilidades?page=15
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Colher Ad Para Sobremesa Florença                                                | R$ 3.99
 ✅ Colher Ad Silicone                                                               | R$ 15.90
 ✅ Canudo Valves Festas Vitamina Bio C/                                             | R$ 4.69
 ✅ Faca Descartável Fest Lar Cristal Line C/10un                                    | R$ 5.58
 ✅ Prato Descartável Cores Fest 15cm Laminado Verde                                 | R$ 3.59
 ✅ Marmita Plasútil 2 Em 1 Und                                                      | R$ 17.85
 ✅ Prato Plástico Fest Lar 15cm Vermelho 10un                                       | R$ 3.59
 ✅ Balão Fest Lar Gigante Azul C/1un                                                | R$ 11.99
 ✅ Prato Fest Lar N°5 Laminado Un                                                   | R$ 3.25
 ✅ Balão Liso Valves Verde C/30 Un                                                  | R$ 11.78
 ✅ Prato Plástico Fest Lar 15cm Amarelo 10un                                        | R$ 3.59
 ✅ Balão Fest Lar Gigante Branco C/1                                                | R$ 11.99
 ✅ Canudo Fest Plas Biodegradevel                                                   | R$ 4.69
 ✅ Balões Valves Feliz Aniversário C/8 Un                                           | R$ 6.88
 ✅ Copo Descarteveis Fest Lar Azul Com                                              | R$ 2.99
 ✅ Forminha De Papel Azul Fest Lar N05                                              | R$ 5.35
 ✅ Prato Plástico Fest Lar 20,5cm Branco Com 10un                                   | R$ 5.78
 ✅ Copo Plástico Descartaveis Fest Lar 200ml Rosa Com 10un                          | R$ 2.99
 ✅ Balão Liso Valves Rosa Pink C/30 Un                                              | R$ 11.78
 ✅ Forminha Papel Valves Nr°6 Azul C/200 Un                                         | R$ 3.85
 ✅ Aroma Artificial Dr. Oetker Baunilha 30ml                                        | R$ 11.99
 ✅ Balões Valves Fantasia C/8 Un                                                    | R$ 4.65
 ✅ Balão Canudo Fest Lar C/8un                                                      | R$ 4.85
 ✅ Balão Liso Valves Amarelo C/30 Un                                                | R$ 11.78
 ✅ Bandeja Laminada Fest Lar N°5 Und                                                | R$ 5.75
 ✅ Forminha Fest Lar 200 Un N°5 Rosa                                                | R$ 5.35
 ✅ Prato Descartável Pratice Life Com 50 Unidades                                   | R$ 14.98
 ✅ Garfo Fest Lar Plástico Cristal Sobremesa Com 50un                               | R$ 7.98
 ✅ Filme De Pvc Wyda 21metros                                                       | R$ 7.55
 ✅ Balão Liso Valves Laranja C/30 Un                                                | R$ 11.78
 ✅ Balão Fest Lar Gigante Coração C/1                                               | R$ 11.99
 ✅ Copo Descartável Facilita Branco 50ml Com 100 Unidades                           | R$ 3.98
 ✅ Faca Descartável Refeição Valves Cristal C/10un                                  | R$ 2.95
 ✅ Prato Plástico Fest Lar 15cm Rosa Com 10un                                       | R$ 3.59
 ✅ Saco Para Pipoca Fest Lar                                                        | R$ 4.98
 ✅ Forminha Papel Festival 200 Un N°6 Branca                                        | R$ 3.85
 ✅ Balão Liso Valves Misto C/30 Un                                                  | R$ 11.78
 ✅ Palito De Sorvete Valves C/                                                      | R$ 4.58
 ✅ Balão Liso Valves Preto C/30 Un                                                  | R$ 11.78
 ✅ Lingua De Sogra Fest Lar                                                         | R$ 4.89

   [NAVEGACAO] Acessando Página: 16 | URL: https://www.supercentralonline.com.br/departamentos/bazar-e-utilidades?page=16
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Espeto Fest Lar 40un Bambu                                                       | R$ 8.35
 ✅ Forminha Fest Lar 200un N°5 Branca                                               | R$ 5.35
 ✅ Balão Liso Valves Lilás C/30 Un                                                  | R$ 11.78
 ✅ Garfo Fest Lar 25un Cristal Forte Refeição                                       | R$ 12.69
 ✅ Balão Liso Valves Vermelho C/30 Un                                               | R$ 11.78
 ✅ Balão Liso Valves Azul C/30 Un                                                   | R$ 11.78
 ✅ Apito Fest Lar 6un 3 Furos                                                       | R$ 4.28
 ✅ Espeto Fest Lar Madeira 24,5cm Com 50unidade                                     | R$ 8.48
 ✅ Prato Plástico Fest Lar 15cm Azul Com 10un                                       | R$ 3.59
 ✅ Prato Fest Lar N°6 Laminado Un                                                   | R$ 4.79
 ✅ Papel Alumínio Mello 30x7,5 Metros                                               | R$ 5.99
 ✅ Prato Fest Lar N°7 Laminado                                                      | R$ 4.99
 ✅ Colher Descártavel Para Café Chá                                                 | R$ 4.58
 ✅ Balão Liso Valves Verde Limão C/30 Un                                            | R$ 11.78
 ✅ Grelha Mor Big Grill                                                             | R$ 99.90
 ✅ Bandeja Laminada Fest Lar N°4 Und                                                | R$ 4.49
 ✅ Faixa Decorativa Fest Lar Feliz Aniversário                                      | R$ 11.99
 ✅ Saco Plástico Fest Lar 50un Hamburg                                              | R$ 6.89
 ✅ Balão Fest Lar Gigante Rosa C/1                                                  | R$ 11.99
 ✅ Balão Liso Valves Branco C/30 Un                                                 | R$ 11.78
 ✅ Forminha Fest Lar 200 Un N°4 Azul                                                | R$ 6.75
 ✅ Forminha Papel Festilar 200 Un N°6 Rosa                                          | R$ 3.85
 ✅ Forminha Fest Lar 200un N°4 Branca                                               | R$ 6.75
 ✅ Garfo Madeira Fest Lar 50un                                                      | R$ 9.98
 ✅ Prato De Laminado Fest Lar Nº8 Un                                                | R$ 6.28
 ✅ Espeto Churrasco Mor 80cm Simples                                                | R$ 29.90
 ✅ Garfo Plástico Fest Lar Cristal Refeição Com 10un                                | R$ 5.58
 ✅ Saco Plástico Fest Lar 50un Hot Dog                                              | R$ 6.89
 ✅ Bandeja Laminada Fest Lar N°6                                                    | R$ 7.89
 ✅ Prato Cristal Quadrado 21cm 06 Un                                                | R$ 23.90
 ✅ Shakeira Plasútil Minnie 580ml                                                   | R$ 19.45
 ✅ Copo Nadir Americano Mini                                                        | R$ 4.50
